scenario,step_percent,estimator,family,run_tier,n_mc_runs,tune_trials,tune_eval_runs,n_cost_reps,base_seed,tuning_base_seed,pipeline_method_version,tuning_elapsed_s,mc_eval_elapsed_s,total_elapsed_s
Sweep_AmplitudeStep_150pct,150.0,LKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00014249997911974788,29.276746599993203,29.276915099995676
Sweep_AmplitudeStep_150pct,150.0,LKF2,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,9.159999899566174e-05,32.033455799974035,32.03358310001204
Sweep_AmplitudeStep_150pct,150.0,PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00012420001439750195,30.04480530001456,30.04496960004326
Sweep_AmplitudeStep_150pct,150.0,RA-EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00018390000332146883,36.02898290002486,36.02918940002564
Sweep_AmplitudeStep_150pct,150.0,RLS,Adaptive,fast,30,300,8,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,1.290000363951549e-05,34.74846130000515,34.74848989999737
Sweep_AmplitudeStep_150pct,150.0,SOGI-FLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,7.850001566112041e-05,27.719129299977794,27.719248999957927
Sweep_AmplitudeStep_150pct,150.0,SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00012360000982880592,26.608931399998255,26.60910470003728
Sweep_AmplitudeStep_150pct,150.0,TFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.23000131174922e-05,74.65028150001308,74.65034779999405
Sweep_AmplitudeStep_150pct,150.0,TKEO,Adaptive,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.7699978090822697e-05,26.90620690002106,26.90627500001574
Sweep_AmplitudeStep_150pct,150.0,Type-3 SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.0003389000194147229,24.869838000042364,24.870210999972187
Sweep_AmplitudeStep_150pct,150.0,UKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00023040000814944506,33.445232999976724,33.445487099990714
Sweep_AmplitudeStep_150pct,150.0,ZCD,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.2099993657320738e-05,15.433892800007015,15.433936799992807
Sweep_AmplitudeStep_15pct,15.0,EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.0015507999924011528,40.496984300029,40.49880309996661
Sweep_AmplitudeStep_15pct,15.0,IPDFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,4.800001624971628e-05,25.121273099968676,25.121362699952442
Sweep_AmplitudeStep_15pct,15.0,LKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.4900014977902174e-05,35.23491880000802,35.23496759997215
Sweep_AmplitudeStep_15pct,15.0,LKF2,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.8700003642588854e-05,55.090517200005706,55.09059580002213
Sweep_AmplitudeStep_15pct,15.0,PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.859998494386673e-05,24.875892399984878,24.875948300003074
Sweep_AmplitudeStep_15pct,15.0,RA-EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00039360002847388387,46.50108310003998,46.50151569995796
Sweep_AmplitudeStep_15pct,15.0,RLS,Adaptive,fast,30,300,8,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.470000228844583e-05,31.5441032000017,31.54417050000484
Sweep_AmplitudeStep_15pct,15.0,SOGI-FLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.090000245720148e-05,26.303032099967822,26.303088599990588
Sweep_AmplitudeStep_15pct,15.0,SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,1.9199971575289965e-05,28.858932300005108,28.858972499961965
Sweep_AmplitudeStep_15pct,15.0,TFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,1.8899969290941954e-05,32.972357199992985,32.97239469998749
