scenario,step_percent,estimator,family,n_mc_runs,m1_rmse_hz_mean,m1_rmse_hz_median,m1_rmse_hz_p10,m1_rmse_hz_p90,m1_rmse_hz_std
Sweep_AmplitudeStep_25pct,25.0,TKEO,Adaptive,30,9.064741013287893,8.79394996391047,7.923339984745429,10.728504833001828,1.113550212186638
Sweep_AmplitudeStep_25pct,25.0,PLL,Loop-based,30,0.2185110600329825,0.1658450197618025,0.16176014355647617,0.31503512331702344,0.13521281373862867
Sweep_AmplitudeStep_25pct,25.0,SOGI-FLL,Loop-based,30,0.005819273040423214,0.0059154032411175,0.0050676606857412,0.00679321277360635,0.0006203601647490734
Sweep_AmplitudeStep_25pct,25.0,SOGI-PLL,Loop-based,30,0.01809632112868796,0.016093304491735252,0.00629021455634532,0.02826872995729283,0.010351033933050318
Sweep_AmplitudeStep_25pct,25.0,Type-3 SOGI-PLL,Loop-based,30,0.03291935707528496,0.024642945374950348,0.008295932711202311,0.06420128049010175,0.027156675432609433
Sweep_AmplitudeStep_25pct,25.0,ZCD,Loop-based,30,0.01143640252064766,0.0110080567346577,0.00596125658978344,0.016942853717673,0.004088675848616614
Sweep_AmplitudeStep_25pct,25.0,EKF,Model-based,30,0.0029310955122442634,0.0027471797596047,0.0006891346891449801,0.00563320629030552,0.0019459775093428843
Sweep_AmplitudeStep_25pct,25.0,LKF,Model-based,30,0.004169873109524286,0.00411183939026305,0.00395535709330858,0.0045095071746859595,0.00018879315347095885
Sweep_AmplitudeStep_25pct,25.0,LKF2,Model-based,30,0.006396667367359918,0.00419194795471985,0.00299335899785771,0.012880449633910801,0.003912719944696974
Sweep_AmplitudeStep_25pct,25.0,RA-EKF,Model-based,30,0.0007261704154264465,0.0006201824513853999,0.00045152631067254997,0.0012337394513310502,0.0003752712804584979
Sweep_AmplitudeStep_25pct,25.0,UKF,Model-based,30,0.0014355776091215134,0.0011985781778643002,0.00062280509992484,0.00246614153224878,0.0006468460896870095
Sweep_AmplitudeStep_25pct,25.0,IPDFT,Window-based,30,0.00342148553497221,0.0037806457475135996,0.0008824814090548501,0.0050386400790704,0.0015607178105020076
Sweep_AmplitudeStep_25pct,25.0,TFT,Window-based,30,0.0019878486754554164,0.0021621146350972002,0.00089934150046534,0.0028802640816716,0.0008234154406263391
Sweep_AmplitudeStep_35pct,35.0,RLS,Adaptive,30,0.9269110243003742,0.9956489756030633,0.23894293496802926,1.4913023432902714,0.4927506034914377
Sweep_AmplitudeStep_35pct,35.0,TKEO,Adaptive,30,9.187568151138795,8.8422237050222,7.957811431692474,10.883470057811415,1.115250245126044
Sweep_AmplitudeStep_35pct,35.0,PLL,Loop-based,30,0.21863914929815992,0.165903107885068,0.16193001713630364,0.31514989665288623,0.1351808599996244
Sweep_AmplitudeStep_35pct,35.0,SOGI-FLL,Loop-based,30,0.0065204166556269965,0.006644685146105949,0.00547264969482068,0.00773026509627634,0.0008015076442436769
Sweep_AmplitudeStep_35pct,35.0,SOGI-PLL,Loop-based,30,0.018983603847760447,0.017085440671105352,0.00787996226419505,0.029298165704891948,0.010157530757042559
Sweep_AmplitudeStep_35pct,35.0,Type-3 SOGI-PLL,Loop-based,30,0.03344368239407537,0.0247260871422319,0.00866019921216693,0.06425609144622106,0.026889643234536464
Sweep_AmplitudeStep_35pct,35.0,ZCD,Loop-based,30,0.010849208922414557,0.010419114669753,0.0056650453016128905,0.0160869562200186,0.003910111170242655
Sweep_AmplitudeStep_35pct,35.0,EKF,Model-based,30,0.0030262230290293633,0.00285350023239015,0.0008666007964034701,0.00564138699110119,0.0018890975040838844
Sweep_AmplitudeStep_35pct,35.0,LKF,Model-based,30,0.004329313269475987,0.0042521759990993,0.00403881813002791,0.00496164512886387,0.0003296944565696921
Sweep_AmplitudeStep_35pct,35.0,LKF2,Model-based,30,0.007013607806727929,0.00483047845528625,0.00380332625555914,0.01325822216990226,0.0037166374198089247
Sweep_AmplitudeStep_35pct,35.0,RA-EKF,Model-based,30,0.0007594511597235233,0.0006429940180828,0.00047912721940098,0.0012700128154560701,0.00037128174903814867
Sweep_AmplitudeStep_35pct,35.0,UKF,Model-based,30,0.0015919368073734597,0.00140585248195235,0.0007635452078216699,0.0024913203299174002,0.0006232254916009281
Sweep_AmplitudeStep_35pct,35.0,IPDFT,Window-based,30,0.004574774755675753,0.0051004921836513995,0.0010861766469091002,0.00675007701701595,0.0021049799891312403
Sweep_AmplitudeStep_35pct,35.0,TFT,Window-based,30,0.0026146017801192173,0.00280533212787185,0.0009694059713560199,0.0038730652365938103,0.0011471274876438315
Sweep_AmplitudeStep_50pct,50.0,RLS,Adaptive,30,1.0436352076900441,1.2304831411200907,0.28321546540434783,1.563831016916226,0.530959713204421
Sweep_AmplitudeStep_50pct,50.0,TKEO,Adaptive,30,9.301292716879045,8.96648028638731,8.096479840896093,11.023814925371612,1.1191131839151618
Sweep_AmplitudeStep_50pct,50.0,PLL,Loop-based,30,0.21885611077568562,0.16598155268710074,0.1622750140332303,0.3153592872849007,0.13512646565087075
Sweep_AmplitudeStep_50pct,50.0,SOGI-FLL,Loop-based,30,0.0075883226778995895,0.0074727217564546505,0.0061603046155816405,0.00927391344035679,0.0011238611738241537
Sweep_AmplitudeStep_50pct,50.0,SOGI-PLL,Loop-based,30,0.020277048710795543,0.01849401757725545,0.0099475250377569,0.030399470739084743,0.010042019879919638
Sweep_AmplitudeStep_50pct,50.0,Type-3 SOGI-PLL,Loop-based,30,0.03426385740002423,0.02486920458626725,0.009365768512038141,0.06435419759066739,0.02651868998071108
Sweep_AmplitudeStep_50pct,50.0,ZCD,Loop-based,30,0.010136065476676549,0.0097043015025132,0.00530550412869837,0.01499294068018671,0.003698129889469358
Sweep_AmplitudeStep_50pct,50.0,EKF,Model-based,30,0.0032091843233847507,0.0030952845957609504,0.00104278287310648,0.00565860048338522,0.0018067745784939393
Sweep_AmplitudeStep_50pct,50.0,LKF,Model-based,30,0.004594851861543046,0.0044094679932995,0.00405449533171065,0.00570093972602242,0.0005659620672978631
Sweep_AmplitudeStep_50pct,50.0,LKF2,Model-based,30,0.008041581796129096,0.0061794595261517,0.004916072903678441,0.01399837829884603,0.003493002212513333
Sweep_AmplitudeStep_50pct,50.0,RA-EKF,Model-based,30,0.0008049641111219434,0.0006826609607308,0.0005075191567980301,0.00131458051589419,0.0003659486129018717
Sweep_AmplitudeStep_50pct,50.0,UKF,Model-based,30,0.0018597149502680966,0.0018654600965111,0.00099737835478093,0.00272475523385423,0.0006277654201731674
Sweep_AmplitudeStep_50pct,50.0,IPDFT,Window-based,30,0.006154255412958207,0.00693077049718455,0.00145640380335873,0.00908759489264999,0.0028446549636065486
Sweep_AmplitudeStep_50pct,50.0,TFT,Window-based,30,0.003514179313366153,0.0037468151840662,0.00109420978790024,0.00528270417687438,0.0016022480114127398
Sweep_AmplitudeStep_75pct,75.0,RLS,Adaptive,30,1.2403838444783133,1.397795416713496,0.5296041987378527,1.7922950939452074,0.4986145999094711
Sweep_AmplitudeStep_75pct,75.0,TKEO,Adaptive,30,9.536147091684112,9.187238932025881,8.304030091978573,11.293282803279759,1.157227509421227
Sweep_AmplitudeStep_75pct,75.0,PLL,Loop-based,30,0.21927544810163596,0.16609716333120605,0.16274618839461558,0.31579640361017847,0.13502083406705112
Sweep_AmplitudeStep_75pct,75.0,SOGI-FLL,Loop-based,30,0.009290927946330012,0.00887373460328705,0.00743723394356248,0.01197844434180956,0.0016416320775116528
Sweep_AmplitudeStep_75pct,75.0,SOGI-PLL,Loop-based,30,0.02218952815284751,0.0219970119630662,0.012137984377731661,0.03142882114250514,0.010176841398831557
Sweep_AmplitudeStep_75pct,75.0,Type-3 SOGI-PLL,Loop-based,30,0.03559451293711107,0.02593572195174105,0.01061089317956013,0.06454349248212636,0.02601062043501868
Sweep_AmplitudeStep_75pct,75.0,ZCD,Loop-based,30,0.009260794596146706,0.0088277475036131,0.00486501651633699,0.01379392660831662,0.0034478614004937137
Sweep_AmplitudeStep_75pct,75.0,EKF,Model-based,30,0.00361136556513176,0.00377412320707575,0.0015404661831491702,0.0057058254260777905,0.0017056421053554386
Sweep_AmplitudeStep_75pct,75.0,LKF,Model-based,30,0.005047328753061447,0.004661006642397551,0.00408989979808457,0.00693579764885954,0.0009610508342512442
Sweep_AmplitudeStep_75pct,75.0,LKF2,Model-based,30,0.00990035902640274,0.00879267502168525,0.006528665208640601,0.01558254126241285,0.0033092119341692635
Sweep_AmplitudeStep_75pct,75.0,RA-EKF,Model-based,30,0.00087086519032204,0.0007631079830694499,0.00054159753129202,0.00138147275645523,0.00035233134953405377
Sweep_AmplitudeStep_75pct,75.0,UKF,Model-based,30,0.0023587812567397964,0.00252614775078265,0.00132965609916659,0.00323247259649903,0.0007320096026678497
Sweep_AmplitudeStep_75pct,75.0,IPDFT,Window-based,30,0.008455840967653458,0.00964733356327395,0.00204036627575962,0.01251564424206259,0.003917358597912979
